session,game_id,mode,my_elo_before,opp_elo,elo_delta,my_elo_after,won,total_rounds,final_my_hp,final_opp_hp,round_num,country,excluded,my_score,opp_score,winner,damage,used_mult,my_hp_after,opp_hp_after,my_mult_after,opp_mult_after,opp1_country,opp2_country
25W52.01,0001,move,749,462,5,754,True,6,6000,0,1,is,False,4832,4551,me,281,1.0,6000,5719,1.0,1.0,us,us
25W52.01,0001,move,749,462,5,754,True,6,6000,0,2,ke,False,4121,4114,me,7,1.0,6000,5712,1.0,1.0,us,us
25W52.01,0001,move,749,462,5,754,True,6,6000,0,3,sg,False,4956,2313,me,2643,1.0,6000,3069,1.0,1.0,us,us
25W52.01,0001,move,749,462,5,754,True,6,6000,0,4,uk,False,4951,4527,me,424,1.0,6000,2645,1.5,1.5,us,us
25W52.01,0001,move,749,462,5,754,True,6,6000,0,5,si,False,4925,4809,me,174,1.5,6000,2471,2.0,2.0,us,us
25W52.01,0001,move,749,462,5,754,True,6,6000,0,6,ru,False,3930,1767,me,4326,2.0,6000,0,2.5,2.5,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,1,lu,False,4996,4879,me,117,1.0,6000,5883,1.0,1.0,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,2,se,False,4989,4992,opp,3,1.0,5997,5883,1.0,1.0,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,3,fi,False,4997,4526,me,471,1.0,5997,5412,1.0,1.0,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,4,om,False,4521,4908,opp,387,1.0,5610,5412,1.5,1.5,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,5,it,False,4901,4845,me,84,1.5,5610,5328,2.0,2.0,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,6,jp,False,4504,4999,opp,990,2.0,4620,5328,2.5,2.5,us,us
25W52.01,0002,move,754,457,-27,727,False,7,0,5328,7,br,False,6,3106,opp,7750,2.5,0,5328,3.0,3.0,us,us
25W52.01,0003,move,727,484,6,733,True,6,3178,0,1,br,False,1299,3490,opp,2191,1.0,3809,6000,1.0,1.0,de,de
25W52.01,0003,move,727,484,6,733,True,6,3178,0,2,gl,False,3884,1423,me,2461,1.0,3809,3539,1.0,1.0,de,de
25W52.01,0003,move,727,484,6,733,True,6,3178,0,3,fr,False,4572,4755,opp,183,1.0,3626,3539,1.0,1.0,de,de
25W52.01,0003,move,727,484,6,733,True,6,3178,0,4,ec,False,3896,4344,opp,448,1.0,3178,3539,1.5,1.5,de,de
